id,name,trait_1,trait_2,trait_3,trait_4,trait_5,trait_6,trait_7,trait_8,trait_9,trait_10,trait_11,trait_12,trait_13,trait_14
1,Thor,God of Thunder,Asgardian,Hammer,Marvel character,Lightning,Avenger,Blonde Hair,Son of Odin,Warrior,Stormbreaker,Cape,Muscular,Immortal,Norse Mythology
2,Harry Potter,Wizard,Scar,Gryffindor,Wand,Hogwarts,Glasses,Quidditch,Parseltongue,Patronus,Boy Who Lived,Invisibility Cloak,Orphan,British,Lightning Bolt
3,Darth Vader,Sith Lord,Black Armor,Lightsaber,Force User,Heavy Breathing,Father of Luke,Fallen Jedi,Mechanical Limbs,Empire,Helmet,Deep Voice,Force Choke,Anakin Skywalker,Star Wars
4,Wonder Woman,Amazon,Lasso of Truth,Themyscira,Superhero,Warrior,Bracelets,Tiara,Immortal,Diana Prince,Justice League,Shield,Sword,Compassionate,Daughter of Zeus
5,Sherlock Holmes,Detective,Pipe,Deduction,London,Intelligent,221B Baker Street,Violin,Dr. Watson,Victorian Era,Coat,Magnifying Glass,Drug User,British,Mystery Solver
6,Captain America,Super Soldier,Shield,Avenger,World War II,Patriotic,Steve Rogers,Frozen,First Avenger,Vibranium,Blonde Hair,Blue Uniform,Leader,Enhanced Strength,Brooklyn
7,Hermione Granger,Witch,Intelligent,Hogwarts,Gryffindor,Time-Turner,Bushy Hair,Muggle-Born,S.P.E.W.,Bookworm,Wand,Cat Owner,British,Prefect,Loyal
8,Iron Man,Genius,Armor Suit,Billionaire,Arc Reactor,Avenger,Tony Stark,Inventor,Playboy,Philanthropist,Goatee,Sarcastic,Flying,Weapons,"Anthony Edward ""Tony"" Stark"
9,Luke Skywalker,Jedi,Lightsaber,Force User,Tatooine,Rebel,Farmboy,X-Wing Pilot,Mechanical Hand,Son of Vader,Blonde Hair,Blue Eyes,Hero's Journey,Star Wars,Twin Sister
10,Katniss Everdeen,Archer,Mockingjay,Hunger Games,District 12,Survivor,Braid,Hunter,Volunteer,Sister Protector,Olive Skin,Grey Eyes,Rebellion Symbol,Victor,Coal Miner's Daughter
11,Batman,Vigilante,Gotham,Billionaire,No Powers,Dark Knight,Bruce Wayne,Bat Symbol,Utility Belt,Batmobile,Orphan,Detective,Cape,Bat Cave,Butler
12,Frodo Baggins,Hobbit,Ring Bearer,Shire,Small,Hairy Feet,Blue Eyes,Mordor,Sting,Mithril Shirt,Nephew of Bilbo,Fellowship,Resilient,Corrupted,Mount Doom
13,Black Widow,Spy,Assassin,Red Hair,Avenger,Russian,Natasha Romanoff,Black Suit,Martial Artist,Widow's Bite,KGB,No Superpowers,Ballerina,Manipulative,Dual Pistols
14,Gandalf,Wizard,Staff,Grey/White,Middle-earth,Wise,Pointy Hat,Pipe Smoker,Ancient,Istari,Beard,Fireworks,Shadowfax,Ring of Fire,Balrog Fighter
15,Spider-Man,Web-Slinger,Wall-Crawler,New York,Superhero,Peter Parker,Spider Sense,Red and Blue,Photographer,Orphan,Quipster,Genius,Radioactive Spider,Masked,Agile
16,Elsa,Ice Powers,Queen,Arendelle,Blonde,Let It Go,Snow,Princess,Sister,Gloves,Isolation,Ice Castle,Coronation,White Hair,Blue Dress
17,Superman,Kryptonian,Cape,Flight,Heat Vision,Reporter,Clark Kent,S Symbol,Metropolis,Invulnerable,Super Strength,X-Ray Vision,Kryptonite Weakness,Farm Boy,Alien
18,Daenerys Targaryen,Mother of Dragons,Khaleesi,Silver Hair,Targaryen,Fire Resistant,Breaker of Chains,Queen,Dothraki,Essos,Dragon Rider,Purple Eyes,Exile,Westeros,Throne Seeker
19,Doctor Strange,Sorcerer,Time Stone,Cloak of Levitation,Surgeon,Mystic Arts,Stephen Strange,Goatee,New York Sanctum,Astral Projection,Multiverse,Arrogant,Photographic Memory,Kamar-Taj,Magic Shields
20,Wolverine,Claws,Healing Factor,Mutant,X-Men,Logan,Adamantium,Cigar,Gruff,Yellow Costume,Animal Senses,Canadian,Old,Berserker Rage,Loner
21,Princess Leia,Rebel Leader,Space Buns,Alderaan,Force Sensitive,Diplomat,Senator,Twin Sister,Blaster,Resistance,Royalty,Carrie Fisher,Witty,Strong-Willed,General
22,Black Panther,Wakanda,Vibranium,King,Superhero,T'Challa,Panther Suit,African,Warrior,Royal,Heart-Shaped Herb,Technologically Advanced,Tribal,Claws,Black Suit
23,Aragorn,Ranger,Sword,Gondor,King,Middle-earth,Strider,Long Hair,Isildur's Heir,Fellowship,Dunedain,Tracker,Bearded,Arwen's Lover,Narsil/Anduril
24,Lara Croft,Archaeologist,Dual Pistols,Adventurer,Tomb Raider,Athletic,British,Wealthy,Braid,Shorts,Intelligent,Acrobatic,Orphan,Croft Manor,Backpack
25,Jon Snow,Night's Watch,Direwolf,Bastard,Winterfell,Knows Nothing,Sword Fighter,Longclaw,Stark,Resurrected,King in the North,Targaryen Blood,Black Clothing,Curly Hair,Brooding
26,Hulk,Green,Rage,Scientist,Super Strength,Bruce Banner,Transformation,Smashing,Gamma Radiation,Avenger,Indestructible,Pants,Primitive Speech,Genius Alter Ego,Fugitive
27,Arya Stark,Assassin,Needle,Faceless Men,Stark,Winter is Coming,Tomboy,Wolf Dreams,List of Names,Water Dancer,Revenge,Small,Quick,Braavos,Warg
28,Captain Jack Sparrow,Pirate,Compass,Black Pearl,Rum,Eccentric,Dreadlocks,Eyeliner,Tricorn Hat,Sword Fighter,Witty,Survivor,Caribbean,Wanted,Immortality Seeker
29,Storm,Weather Control,X-Men,White Hair,Mutant,Ororo Munroe,African,Goddess,Flight,Lightning,Claustrophobic,Cape,Leader,Mohawk,Weather Witch
30,Indiana Jones,Archaeologist,Whip,Hat,Professor,Afraid of Snakes,Satchel,Leather Jacket,Stubble,Treasure Hunter,Adventurer,Knowledgeable,Museums,1930s,Booby Traps
